MW	molecular weight
BELe3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities
BELe8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities
BEHp1	highest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities
BEHp2	highest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities
BEHp3	highest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities
BEHp4	highest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities
BEHp5	highest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities
BEHp6	highest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities
BEHp7	highest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities
BEHp8	highest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities
BELp1	lowest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities
BELp2	lowest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities
BELp3	lowest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities
BELp4	lowest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities
BELp5	lowest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities
BELp6	lowest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities
BELp7	lowest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities
BELp8	lowest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities
GGI1	topological charge index of order 1
GGI2	topological charge index of order 2
GGI3	topological charge index of order 3
GGI4	topological charge index of order 4
GGI5	topological charge index of order 5
GGI6	topological charge index of order 6
GGI7	topological charge index of order 7
GGI8	topological charge index of order 8
GGI9	topological charge index of order 9
GGI10	topological charge index of order 10
JGI1	mean topological charge index of order1
JGI2	mean topological charge index of order2
JGI3	mean topological charge index of order3
JGI4	mean topological charge index of order4
JGI5	mean topological charge index of order5
JGI6	mean topological charge index of order6
JGI7	mean topological charge index of order7
JGI8	mean topological charge index of order8
JGI9	mean topological charge index of order9
JGI10	mean topological charge index of order10
JGT	global topological charge index
LP1	Lovasz-Pelikan index (leading eigenvalue)
Eig1Z	Leading eigenvalue from Z weighted distance matrix (Barysz matrix)
Eig1m	Leading eigenvalue from mass weighted distance matrix
Eig1v	Leading eigenvalue from van der Waals weighted distance matrix
Eig1e	Leading eigenvalue from electronegativity weighted distance matrix
Eig1p	Leading eigenvalue from polarizability weighted distance matrix
SEigZ	Eigenvalue sum from Z weighted distance matrix (Barysz matrix)
SEigm	Eigenvalue sum from mass weighted distance matrix
SEigv	Eigenvalue sum from van der Waals weighted distance matrix
SEige	Eigenvalue sum from electronegativity weighted distance matrix
SEigp	Eigenvalue sum from polarizability weighted distance matrix
AEigZ	Absolute eigenvalue sum from Z weighted distance matrix (Barysz matrix)
AEigm	Absolute eigenvalue sum from mass weighted distance matrix
AEigv	Absolute eigenvalue sum from van der Waals weighted distance matrix
AEige	Absolute eigenvalue sum from electronegativity weighted distance matrix
AEigp	Absolute eigenvalue sum from polarizability weighted distance matrix
VEA1	eigenvector coefficient sum from adjacency matrix
VEA2	average eigenvector coefficient sum from adjacency matrix
VRA1	Randic-type eigenvector-based index from adjacency matrix
VRA2	average Randic-type eigenvector-based index from adjacency matrix
VED1	eigenvector coefficient sum from distance matrix
VED2	average eigenvector coefficient sum from distance matrix
VRD1	Randic-type eigenvector-based index from distance matrix
VRD2	average Randic-type eigenvector-based index from distance matrix
VEZ1	eigenvector coefficient sum from Z weighted distance matrix (Barysz matrix)
VEZ2	average eigenvector coefficient sum from Z weighted distance matrix (Barysz matrix)
VRZ1	Randic-type eigenvector-based index from Z weighted distance matrix (Barysz matrix)
VRZ2	average Randic-type eigenvector-based index from Z weighted distance matrix (Barysz matrix)
VEm1	eigenvector coefficient sum from mass weighted distance matrix
VEm2	average eigenvector coefficient sum from mass weighted distance matrix
VRm1	Randic-type eigenvector-based index from mass weighted distance matrix
VRm2	average Randic-type eigenvector-based index from mass weighted distance matrix
VEv1	eigenvector coefficient sum from van der Waals weighted distance matrix
VEv2	average eigenvector coefficient sum from van der Waals weighted distance matrix
VRv1	Randic-type eigenvector-based index from van der Waals weighted distance matrix
VRv2	average Randic-type eigenvector-based index from van der Waals weighted distance matrix
VEe1	eigenvector coefficient sum from electronegativity weighted distance matrix
VEe2	average eigenvector coefficient sum from electronegativity weighted distance matrix
VRe1	Randic-type eigenvector-based index from electronegativity weighted distance matrix
VRe2	average Randic-type eigenvector-based index from electronegativity weighted distance matrix
VEp1	eigenvector coefficient sum from polarizability weighted distance matrix
VEp2	average eigenvector coefficient sum from polarizability weighted distance matrix
VRp1	Randic-type eigenvector-based index from polarizability weighted distance matrix
VRp2	average Randic-type eigenvector-based index from polarizability weighted distance matrix
DP01	molecular profile no. 01
DP02	molecular profile no. 02
DP03	molecular profile no. 03
DP04	molecular profile no. 04
DP05	molecular profile no. 05
DP06	molecular profile no. 06
DP07	molecular profile no. 07
DP08	molecular profile no. 08
DP09	molecular profile no. 09
DP10	molecular profile no. 10
DP11	molecular profile no. 11
DP12	molecular profile no. 12
DP13	molecular profile no. 13
DP14	molecular profile no. 14
DP15	molecular profile no. 15
DP16	molecular profile no. 16
DP17	molecular profile no. 17
DP18	molecular profile no. 18
DP19	molecular profile no. 19
DP20	molecular profile no. 20
SP01	shape profile no. 01
SP02	shape profile no. 02
SP03	shape profile no. 03
SP04	shape profile no. 04
SP05	shape profile no. 05
SP06	shape profile no. 06
SP07	shape profile no. 07
SP08	shape profile no. 08
SP09	shape profile no. 09
SP10	shape profile no. 10
SP11	shape profile no. 11
SP12	shape profile no. 12
SP13	shape profile no. 13
SP14	shape profile no. 14
SP15	shape profile no. 15
SP16	shape profile no. 16
SP17	shape profile no. 17
SP18	shape profile no. 18
SP19	shape profile no. 19
SP20	shape profile no. 20
SHP2	average shape profile index of order 2
W3D	3D-Wiener index
J3D	3D-Balaban index
H3D	3D-Harary index
AGDD	average geometric distance degree
DDI	D/D index
ADDD	average distance/distance degree
G1	gravitational index G1
G2	gravitational index G2 (bond-restricted)
RGyr	radius of gyration (mass weighted)
SPAN	span R
SPAM	average span R
MEcc	molecular eccentricity
SPH	spherosity
ASP	asphericity
FDI	folding degree index
PJI3	3D Petijean shape index
L/Bw	length-to-breadth ratio by WHIM
SEig	absolute eigenvalue sum on geometry matrix
HOMA	Harmonic Oscillator Model of Aromaticity index
RCI	Jug RC index
AROM	aromaticity (trial)
HOMT	HOMA total (trial)
DISPm	d COMMA2 value / weighted by atomic masses
QXXm	Qxx COMMA2 value / weighted by atomic masses
QYYm	Qyy COMMA2 value / weighted by atomic masses
QZZm	Qzz COMMA2 value / weighted by atomic masses
DISPv	d COMMA2 value / weighted by atomic van der Waals volumes
QXXv	Qxx COMMA2 value / weighted by atomic van der Waals volumes
QYYv	Qyy COMMA2 value / weighted by atomic van der Waals volumes
QZZv	Qzz COMMA2 value / weighted by atomic van der Waals volumes
DISPe	d COMMA2 value / weighted by atomic Sanderson electronegativities
QXXe	Qxx COMMA2 value / weighted by atomic Sanderson electronegativities
QYYe	Qyy COMMA2 value / weighted by atomic Sanderson electronegativities
QZZe	Qzz COMMA2 value / weighted by atomic Sanderson electronegativities
DISPp	d COMMA2 value / weighted by atomic polarizabilities
QXXp	Qxx COMMA2 value / weighted by atomic polarizabilities
QYYp	Qyy COMMA2 value / weighted by atomic polarizabilities
QZZp	Qzz COMMA2 value / weighted by atomic polarizabilities
G(N..N)	sum of geometrical distances between N..N
G(N..O)	sum of geometrical distances between N..O
G(N..S)	sum of geometrical distances between N..S
G(N..P)	sum of geometrical distances between N..P
G(N..F)	sum of geometrical distances between N..F
G(N..Cl)	sum of geometrical distances between N..Cl
G(N..Br)	sum of geometrical distances between N..Br
G(N..I)	sum of geometrical distances between N..I
G(O..O)	sum of geometrical distances between O..O
G(O..S)	sum of geometrical distances between O..S
G(O..P)	sum of geometrical distances between O..P
G(O..F)	sum of geometrical distances between O..F
G(O..Cl)	sum of geometrical distances between O..Cl
G(O..Br)	sum of geometrical distances between O..Br
G(O..I)	sum of geometrical distances between O..I
G(S..S)	sum of geometrical distances between S..S
G(S..P)	sum of geometrical distances between S..P
G(S..F)	sum of geometrical distances between S..F
G(S..Cl)	sum of geometrical distances between S..Cl
G(S..Br)	sum of geometrical distances between S..Br
G(S..I)	sum of geometrical distances between S..I
G(P..P)	sum of geometrical distances between P..P
G(P..F)	sum of geometrical distances between P..F
G(P..Cl)	sum of geometrical distances between P..Cl
G(P..Br)	sum of geometrical distances between P..Br
G(P..I)	sum of geometrical distances between P..I
G(F..F)	sum of geometrical distances between F..F
G(F..Cl)	sum of geometrical distances between F..Cl
G(F..Br)	sum of geometrical distances between F..Br
G(F..I)	sum of geometrical distances between F..I
G(Cl..Cl)	sum of geometrical distances between Cl..Cl
G(Cl..Br)	sum of geometrical distances between Cl..Br
G(Cl..I)	sum of geometrical distances between Cl..I
G(Br..Br)	sum of geometrical distances between Br..Br
G(Br..I)	sum of geometrical distances between Br..I
G(I..I)	sum of geometrical distances between I..I
RDF010u	Radial Distribution Function - 1.0 / unweighted
RDF015u	Radial Distribution Function - 1.5 / unweighted
RDF020u	Radial Distribution Function - 2.0 / unweighted
RDF025u	Radial Distribution Function - 2.5 / unweighted
RDF030u	Radial Distribution Function - 3.0 / unweighted
RDF035u	Radial Distribution Function - 3.5 / unweighted
RDF040u	Radial Distribution Function - 4.0 / unweighted
RDF045u	Radial Distribution Function - 4.5 / unweighted
RDF050u	Radial Distribution Function - 5.0 / unweighted
RDF055u	Radial Distribution Function - 5.5 / unweighted
RDF060u	Radial Distribution Function - 6.0 / unweighted
RDF065u	Radial Distribution Function - 6.5 / unweighted
RDF070u	Radial Distribution Function - 7.0 / unweighted
RDF075u	Radial Distribution Function - 7.5 / unweighted
RDF080u	Radial Distribution Function - 8.0 / unweighted
RDF085u	Radial Distribution Function - 8.5 / unweighted
RDF090u	Radial Distribution Function - 9.0 / unweighted
RDF095u	Radial Distribution Function - 9.5 / unweighted
RDF100u	Radial Distribution Function - 10.0 / unweighted
RDF105u	Radial Distribution Function - 10.5 / unweighted
RDF110u	Radial Distribution Function - 11.0 / unweighted
RDF115u	Radial Distribution Function - 11.5 / unweighted
RDF120u	Radial Distribution Function - 12.0 / unweighted
RDF125u	Radial Distribution Function - 12.5 / unweighted
RDF130u	Radial Distribution Function - 13.0 / unweighted
RDF135u	Radial Distribution Function - 13.5 / unweighted
RDF140u	Radial Distribution Function - 14.0 / unweighted
RDF145u	Radial Distribution Function - 14.5 / unweighted
RDF150u	Radial Distribution Function - 15.0 / unweighted
RDF155u	Radial Distribution Function - 15.5 / unweighted
RDF010m	Radial Distribution Function - 1.0 / weighted by atomic masses
RDF015m	Radial Distribution Function - 1.5 / weighted by atomic masses
RDF020m	Radial Distribution Function - 2.0 / weighted by atomic masses
RDF025m	Radial Distribution Function - 2.5 / weighted by atomic masses
RDF030m	Radial Distribution Function - 3.0 / weighted by atomic masses
RDF035m	Radial Distribution Function - 3.5 / weighted by atomic masses
RDF040m	Radial Distribution Function - 4.0 / weighted by atomic masses
RDF045m	Radial Distribution Function - 4.5 / weighted by atomic masses
RDF050m	Radial Distribution Function - 5.0 / weighted by atomic masses
RDF055m	Radial Distribution Function - 5.5 / weighted by atomic masses
RDF060m	Radial Distribution Function - 6.0 / weighted by atomic masses
RDF065m	Radial Distribution Function - 6.5 / weighted by atomic masses
RDF070m	Radial Distribution Function - 7.0 / weighted by atomic masses
RDF075m	Radial Distribution Function - 7.5 / weighted by atomic masses
RDF080m	Radial Distribution Function - 8.0 / weighted by atomic masses
RDF085m	Radial Distribution Function - 8.5 / weighted by atomic masses
RDF090m	Radial Distribution Function - 9.0 / weighted by atomic masses
RDF095m	Radial Distribution Function - 9.5 / weighted by atomic masses
RDF100m	Radial Distribution Function - 10.0 / weighted by atomic masses
RDF105m	Radial Distribution Function - 10.5 / weighted by atomic masses
RDF110m	Radial Distribution Function - 11.0 / weighted by atomic masses
RDF115m	Radial Distribution Function - 11.5 / weighted by atomic masses
RDF120m	Radial Distribution Function - 12.0 / weighted by atomic masses
RDF125m	Radial Distribution Function - 12.5 / weighted by atomic masses
RDF130m	Radial Distribution Function - 13.0 / weighted by atomic masses
RDF135m	Radial Distribution Function - 13.5 / weighted by atomic masses
RDF140m	Radial Distribution Function - 14.0 / weighted by atomic masses
RDF145m	Radial Distribution Function - 14.5 / weighted by atomic masses
RDF150m	Radial Distribution Function - 15.0 / weighted by atomic masses
RDF155m	Radial Distribution Function - 15.5 / weighted by atomic masses
RDF010v	Radial Distribution Function - 1.0 / weighted by atomic van der Waals volumes
RDF015v	Radial Distribution Function - 1.5 / weighted by atomic van der Waals volumes
RDF020v	Radial Distribution Function - 2.0 / weighted by atomic van der Waals volumes
RDF025v	Radial Distribution Function - 2.5 / weighted by atomic van der Waals volumes
RDF030v	Radial Distribution Function - 3.0 / weighted by atomic van der Waals volumes
RDF035v	Radial Distribution Function - 3.5 / weighted by atomic van der Waals volumes
RDF040v	Radial Distribution Function - 4.0 / weighted by atomic van der Waals volumes
RDF045v	Radial Distribution Function - 4.5 / weighted by atomic van der Waals volumes
RDF050v	Radial Distribution Function - 5.0 / weighted by atomic van der Waals volumes
RDF055v	Radial Distribution Function - 5.5 / weighted by atomic van der Waals volumes
RDF060v	Radial Distribution Function - 6.0 / weighted by atomic van der Waals volumes
RDF065v	Radial Distribution Function - 6.5 / weighted by atomic van der Waals volumes
RDF070v	Radial Distribution Function - 7.0 / weighted by atomic van der Waals volumes
RDF075v	Radial Distribution Function - 7.5 / weighted by atomic van der Waals volumes
RDF080v	Radial Distribution Function - 8.0 / weighted by atomic van der Waals volumes
RDF085v	Radial Distribution Function - 8.5 / weighted by atomic van der Waals volumes
RDF090v	Radial Distribution Function - 9.0 / weighted by atomic van der Waals volumes
RDF095v	Radial Distribution Function - 9.5 / weighted by atomic van der Waals volumes
RDF100v	Radial Distribution Function - 10.0 / weighted by atomic van der Waals volumes
RDF105v	Radial Distribution Function - 10.5 / weighted by atomic van der Waals volumes
RDF110v	Radial Distribution Function - 11.0 / weighted by atomic van der Waals volumes
RDF115v	Radial Distribution Function - 11.5 / weighted by atomic van der Waals volumes
RDF120v	Radial Distribution Function - 12.0 / weighted by atomic van der Waals volumes
RDF125v	Radial Distribution Function - 12.5 / weighted by atomic van der Waals volumes
RDF130v	Radial Distribution Function - 13.0 / weighted by atomic van der Waals volumes
RDF135v	Radial Distribution Function - 13.5 / weighted by atomic van der Waals volumes
RDF140v	Radial Distribution Function - 14.0 / weighted by atomic van der Waals volumes
RDF145v	Radial Distribution Function - 14.5 / weighted by atomic van der Waals volumes
RDF150v	Radial Distribution Function - 15.0 / weighted by atomic van der Waals volumes
RDF155v	Radial Distribution Function - 15.5 / weighted by atomic van der Waals volumes
RDF010e	Radial Distribution Function - 1.0 / weighted by atomic Sanderson electronegativities
RDF015e	Radial Distribution Function - 1.5 / weighted by atomic Sanderson electronegativities
RDF020e	Radial Distribution Function - 2.0 / weighted by atomic Sanderson electronegativities
RDF025e	Radial Distribution Function - 2.5 / weighted by atomic Sanderson electronegativities
RDF030e	Radial Distribution Function - 3.0 / weighted by atomic Sanderson electronegativities
RDF035e	Radial Distribution Function - 3.5 / weighted by atomic Sanderson electronegativities
RDF040e	Radial Distribution Function - 4.0 / weighted by atomic Sanderson electronegativities
RDF045e	Radial Distribution Function - 4.5 / weighted by atomic Sanderson electronegativities
RDF050e	Radial Distribution Function - 5.0 / weighted by atomic Sanderson electronegativities
RDF055e	Radial Distribution Function - 5.5 / weighted by atomic Sanderson electronegativities
RDF060e	Radial Distribution Function - 6.0 / weighted by atomic Sanderson electronegativities
RDF065e	Radial Distribution Function - 6.5 / weighted by atomic Sanderson electronegativities
RDF070e	Radial Distribution Function - 7.0 / weighted by atomic Sanderson electronegativities
RDF075e	Radial Distribution Function - 7.5 / weighted by atomic Sanderson electronegativities
RDF080e	Radial Distribution Function - 8.0 / weighted by atomic Sanderson electronegativities
RDF085e	Radial Distribution Function - 8.5 / weighted by atomic Sanderson electronegativities
RDF090e	Radial Distribution Function - 9.0 / weighted by atomic Sanderson electronegativities
RDF095e	Radial Distribution Function - 9.5 / weighted by atomic Sanderson electronegativities
RDF100e	Radial Distribution Function - 10.0 / weighted by atomic Sanderson electronegativities
RDF105e	Radial Distribution Function - 10.5 / weighted by atomic Sanderson electronegativities
RDF110e	Radial Distribution Function - 11.0 / weighted by atomic Sanderson electronegativities
RDF115e	Radial Distribution Function - 11.5 / weighted by atomic Sanderson electronegativities
RDF120e	Radial Distribution Function - 12.0 / weighted by atomic Sanderson electronegativities
RDF125e	Radial Distribution Function - 12.5 / weighted by atomic Sanderson electronegativities
RDF130e	Radial Distribution Function - 13.0 / weighted by atomic Sanderson electronegativities
RDF135e	Radial Distribution Function - 13.5 / weighted by atomic Sanderson electronegativities
RDF140e	Radial Distribution Function - 14.0 / weighted by atomic Sanderson electronegativities
RDF145e	Radial Distribution Function - 14.5 / weighted by atomic Sanderson electronegativities
RDF150e	Radial Distribution Function - 15.0 / weighted by atomic Sanderson electronegativities
RDF155e	Radial Distribution Function - 15.5 / weighted by atomic Sanderson electronegativities
RDF010p	Radial Distribution Function - 1.0 / weighted by atomic polarizabilities
RDF015p	Radial Distribution Function - 1.5 / weighted by atomic polarizabilities
RDF020p	Radial Distribution Function - 2.0 / weighted by atomic polarizabilities
RDF025p	Radial Distribution Function - 2.5 / weighted by atomic polarizabilities
RDF030p	Radial Distribution Function - 3.0 / weighted by atomic polarizabilities
RDF035p	Radial Distribution Function - 3.5 / weighted by atomic polarizabilities
RDF040p	Radial Distribution Function - 4.0 / weighted by atomic polarizabilities
RDF045p	Radial Distribution Function - 4.5 / weighted by atomic polarizabilities
RDF050p	Radial Distribution Function - 5.0 / weighted by atomic polarizabilities
RDF055p	Radial Distribution Function - 5.5 / weighted by atomic polarizabilities
RDF060p	Radial Distribution Function - 6.0 / weighted by atomic polarizabilities
RDF065p	Radial Distribution Function - 6.5 / weighted by atomic polarizabilities
RDF070p	Radial Distribution Function - 7.0 / weighted by atomic polarizabilities
RDF075p	Radial Distribution Function - 7.5 / weighted by atomic polarizabilities
RDF080p	Radial Distribution Function - 8.0 / weighted by atomic polarizabilities
RDF085p	Radial Distribution Function - 8.5 / weighted by atomic polarizabilities
RDF090p	Radial Distribution Function - 9.0 / weighted by atomic polarizabilities
RDF095p	Radial Distribution Function - 9.5 / weighted by atomic polarizabilities
RDF100p	Radial Distribution Function - 10.0 / weighted by atomic polarizabilities
RDF105p	Radial Distribution Function - 10.5 / weighted by atomic polarizabilities
RDF110p	Radial Distribution Function - 11.0 / weighted by atomic polarizabilities
RDF115p	Radial Distribution Function - 11.5 / weighted by atomic polarizabilities
RDF120p	Radial Distribution Function - 12.0 / weighted by atomic polarizabilities
RDF125p	Radial Distribution Function - 12.5 / weighted by atomic polarizabilities
RDF130p	Radial Distribution Function - 13.0 / weighted by atomic polarizabilities
RDF135p	Radial Distribution Function - 13.5 / weighted by atomic polarizabilities
RDF140p	Radial Distribution Function - 14.0 / weighted by atomic polarizabilities
RDF145p	Radial Distribution Function - 14.5 / weighted by atomic polarizabilities
RDF150p	Radial Distribution Function - 15.0 / weighted by atomic polarizabilities
RDF155p	Radial Distribution Function - 15.5 / weighted by atomic polarizabilities
Mor01u	3D-MoRSE - signal 01 / unweighted
Mor02u	3D-MoRSE - signal 02 / unweighted
Mor03u	3D-MoRSE - signal 03 / unweighted
Mor04u	3D-MoRSE - signal 04 / unweighted
Mor05u	3D-MoRSE - signal 05 / unweighted
Mor06u	3D-MoRSE - signal 06 / unweighted
Mor07u	3D-MoRSE - signal 07 / unweighted
Mor08u	3D-MoRSE - signal 08 / unweighted
Mor09u	3D-MoRSE - signal 09 / unweighted
Mor10u	3D-MoRSE - signal 10 / unweighted
Mor11u	3D-MoRSE - signal 11 / unweighted
Mor12u	3D-MoRSE - signal 12 / unweighted
Mor13u	3D-MoRSE - signal 13 / unweighted
Mor14u	3D-MoRSE - signal 14 / unweighted
Mor15u	3D-MoRSE - signal 15 / unweighted
Mor16u	3D-MoRSE - signal 16 / unweighted
Mor17u	3D-MoRSE - signal 17 / unweighted
Mor18u	3D-MoRSE - signal 18 / unweighted
Mor19u	3D-MoRSE - signal 19 / unweighted
Mor20u	3D-MoRSE - signal 20 / unweighted
Mor21u	3D-MoRSE - signal 21 / unweighted
Mor22u	3D-MoRSE - signal 22 / unweighted
Mor23u	3D-MoRSE - signal 23 / unweighted
Mor24u	3D-MoRSE - signal 24 / unweighted
Mor25u	3D-MoRSE - signal 25 / unweighted
Mor26u	3D-MoRSE - signal 26 / unweighted
Mor27u	3D-MoRSE - signal 27 / unweighted
Mor28u	3D-MoRSE - signal 28 / unweighted
Mor29u	3D-MoRSE - signal 29 / unweighted
Mor30u	3D-MoRSE - signal 30 / unweighted
Mor31u	3D-MoRSE - signal 31 / unweighted
Mor32u	3D-MoRSE - signal 32 / unweighted
Mor01m	3D-MoRSE - signal 01 / weighted by atomic masses
Mor02m	3D-MoRSE - signal 02 / weighted by atomic masses
Mor03m	3D-MoRSE - signal 03 / weighted by atomic masses
Mor04m	3D-MoRSE - signal 04 / weighted by atomic masses
Mor05m	3D-MoRSE - signal 05 / weighted by atomic masses
Mor06m	3D-MoRSE - signal 06 / weighted by atomic masses
Mor07m	3D-MoRSE - signal 07 / weighted by atomic masses
Mor08m	3D-MoRSE - signal 08 / weighted by atomic masses
Mor09m	3D-MoRSE - signal 09 / weighted by atomic masses
Mor10m	3D-MoRSE - signal 10 / weighted by atomic masses
Mor11m	3D-MoRSE - signal 11 / weighted by atomic masses
Mor12m	3D-MoRSE - signal 12 / weighted by atomic masses
Mor13m	3D-MoRSE - signal 13 / weighted by atomic masses
Mor14m	3D-MoRSE - signal 14 / weighted by atomic masses
Mor15m	3D-MoRSE - signal 15 / weighted by atomic masses
Mor16m	3D-MoRSE - signal 16 / weighted by atomic masses
Mor17m	3D-MoRSE - signal 17 / weighted by atomic masses
Mor18m	3D-MoRSE - signal 18 / weighted by atomic masses
Mor19m	3D-MoRSE - signal 19 / weighted by atomic masses
Mor20m	3D-MoRSE - signal 20 / weighted by atomic masses
Mor21m	3D-MoRSE - signal 21 / weighted by atomic masses
Mor22m	3D-MoRSE - signal 22 / weighted by atomic masses
Mor23m	3D-MoRSE - signal 23 / weighted by atomic masses
Mor24m	3D-MoRSE - signal 24 / weighted by atomic masses
Mor25m	3D-MoRSE - signal 25 / weighted by atomic masses
Mor26m	3D-MoRSE - signal 26 / weighted by atomic masses
Mor27m	3D-MoRSE - signal 27 / weighted by atomic masses
Mor28m	3D-MoRSE - signal 28 / weighted by atomic masses
Mor29m	3D-MoRSE - signal 29 / weighted by atomic masses
Mor30m	3D-MoRSE - signal 30 / weighted by atomic masses
Mor31m	3D-MoRSE - signal 31 / weighted by atomic masses
Mor32m	3D-MoRSE - signal 32 / weighted by atomic masses
Mor01v	3D-MoRSE - signal 01 / weighted by atomic van der Waals volumes
Mor02v	3D-MoRSE - signal 02 / weighted by atomic van der Waals volumes
Mor03v	3D-MoRSE - signal 03 / weighted by atomic van der Waals volumes
Mor04v	3D-MoRSE - signal 04 / weighted by atomic van der Waals volumes
Mor05v	3D-MoRSE - signal 05 / weighted by atomic van der Waals volumes
Mor06v	3D-MoRSE - signal 06 / weighted by atomic van der Waals volumes
Mor07v	3D-MoRSE - signal 07 / weighted by atomic van der Waals volumes
Mor08v	3D-MoRSE - signal 08 / weighted by atomic van der Waals volumes
Mor09v	3D-MoRSE - signal 09 / weighted by atomic van der Waals volumes
Mor10v	3D-MoRSE - signal 10 / weighted by atomic van der Waals volumes
Mor11v	3D-MoRSE - signal 11 / weighted by atomic van der Waals volumes
Mor12v	3D-MoRSE - signal 12 / weighted by atomic van der Waals volumes
Mor13v	3D-MoRSE - signal 13 / weighted by atomic van der Waals volumes
Mor14v	3D-MoRSE - signal 14 / weighted by atomic van der Waals volumes
Mor15v	3D-MoRSE - signal 15 / weighted by atomic van der Waals volumes
Mor16v	3D-MoRSE - signal 16 / weighted by atomic van der Waals volumes
Mor17v	3D-MoRSE - signal 17 / weighted by atomic van der Waals volumes
Mor18v	3D-MoRSE - signal 18 / weighted by atomic van der Waals volumes
Mor19v	3D-MoRSE - signal 19 / weighted by atomic van der Waals volumes
Mor20v	3D-MoRSE - signal 20 / weighted by atomic van der Waals volumes
Mor21v	3D-MoRSE - signal 21 / weighted by atomic van der Waals volumes
Mor22v	3D-MoRSE - signal 22 / weighted by atomic van der Waals volumes
Mor23v	3D-MoRSE - signal 23 / weighted by atomic van der Waals volumes
Mor24v	3D-MoRSE - signal 24 / weighted by atomic van der Waals volumes
Mor25v	3D-MoRSE - signal 25 / weighted by atomic van der Waals volumes
Mor26v	3D-MoRSE - signal 26 / weighted by atomic van der Waals volumes
Mor27v	3D-MoRSE - signal 27 / weighted by atomic van der Waals volumes
Mor28v	3D-MoRSE - signal 28 / weighted by atomic van der Waals volumes
Mor29v	3D-MoRSE - signal 29 / weighted by atomic van der Waals volumes
Mor30v	3D-MoRSE - signal 30 / weighted by atomic van der Waals volumes
Mor31v	3D-MoRSE - signal 31 / weighted by atomic van der Waals volumes
Mor32v	3D-MoRSE - signal 32 / weighted by atomic van der Waals volumes
Mor01e	3D-MoRSE - signal 01 / weighted by atomic Sanderson electronegativities
Mor02e	3D-MoRSE - signal 02 / weighted by atomic Sanderson electronegativities
Mor03e	3D-MoRSE - signal 03 / weighted by atomic Sanderson electronegativities
Mor04e	3D-MoRSE - signal 04 / weighted by atomic Sanderson electronegativities
Mor05e	3D-MoRSE - signal 05 / weighted by atomic Sanderson electronegativities
Mor06e	3D-MoRSE - signal 06 / weighted by atomic Sanderson electronegativities
Mor07e	3D-MoRSE - signal 07 / weighted by atomic Sanderson electronegativities
Mor08e	3D-MoRSE - signal 08 / weighted by atomic Sanderson electronegativities
Mor09e	3D-MoRSE - signal 09 / weighted by atomic Sanderson electronegativities
Mor10e	3D-MoRSE - signal 10 / weighted by atomic Sanderson electronegativities
Mor11e	3D-MoRSE - signal 11 / weighted by atomic Sanderson electronegativities
Mor12e	3D-MoRSE - signal 12 / weighted by atomic Sanderson electronegativities
Mor13e	3D-MoRSE - signal 13 / weighted by atomic Sanderson electronegativities
Mor14e	3D-MoRSE - signal 14 / weighted by atomic Sanderson electronegativities
Mor15e	3D-MoRSE - signal 15 / weighted by atomic Sanderson electronegativities
Mor16e	3D-MoRSE - signal 16 / weighted by atomic Sanderson electronegativities
Mor17e	3D-MoRSE - signal 17 / weighted by atomic Sanderson electronegativities
Mor18e	3D-MoRSE - signal 18 / weighted by atomic Sanderson electronegativities
Mor19e	3D-MoRSE - signal 19 / weighted by atomic Sanderson electronegativities
Mor20e	3D-MoRSE - signal 20 / weighted by atomic Sanderson electronegativities
Mor21e	3D-MoRSE - signal 21 / weighted by atomic Sanderson electronegativities
Mor22e	3D-MoRSE - signal 22 / weighted by atomic Sanderson electronegativities
Mor23e	3D-MoRSE - signal 23 / weighted by atomic Sanderson electronegativities
Mor24e	3D-MoRSE - signal 24 / weighted by atomic Sanderson electronegativities
Mor25e	3D-MoRSE - signal 25 / weighted by atomic Sanderson electronegativities
Mor26e	3D-MoRSE - signal 26 / weighted by atomic Sanderson electronegativities
